name,age,is_alive,score
,95,True,97.29
ptqEjnp,50,False,7.91
zPmBbtk,18,True,57.37
HgsqFWg,58,False,65.72
LJouGEH,23,True,85.32
RmnDjAd,95,True,92.01
dzPRjmX,97,True,62.26
NAVKbmp,88,True,7.09
WejiWVq,77,False,88.68
WqUOWIc,63,False,36.18
SeQRNFf,46,True,15.44
lwILkng,69,True,62.03
BBAlCwE,99,False,23.47
QrcBkcU,91,False,78.34
RXccwUo,39,False,77.78
hFxoNvZ,8,True,60.4
CnorQIl,26,True,35.79
KPyDZER,79,True,31.62
lfqTVIX,50,True,24.45
MxYuPzM,96,False,80.99
kDwZPCt,93,False,75.99
zSVtVyG,9,,
wUEmzFo,32,False,31.37
IBPQLNt,4,True,84.99
,81,False,84.44
FCSamXw,72,,54.22
beUnoOv,13,False,78.6
cDGanhc,14,False,86.58
BZNQQCz,100,True,19.23
JVwZDYV,83,True,56.51
JEqjtFo,20,True,46.78
GUDaWKm,36,False,53.58
EYycRGo,97,True,66.68
tsLVIzU,36,True,90.35
ZWKSEgr,51,True,72.54
hwsJhJs,46,False,90.82
aUOynbv,62,True,37.56
jfqvGRU,59,False,51.45
apxaKSL,89,False,95.46
NmETEbt,52,False,14.13
BQfOolB,48,True,17.12
WdbQxbI,28,True,67.74
LXXghFm,87,True,72.91
rlkyEMC,18,True,53.95
,3,True,
kebwhET,16,False,91.56
vWNkYyN,99,False,33.25
GaNFhgw,56,False,2.04
keGZfDW,61,True,95.09
EIsyUou,91,,78.04
TuxIhFA,3,False,90.64
gZatgUb,98,False,41.34
QLnDMIK,98,True,2.15
LSWcwEi,21,True,49.82
mXIKniP,80,True,11.97
lBttede,82,False,52.16
MGEYzAC,83,False,73.18
mWIgkyn,6,True,46.76
GsOiILo,3,True,27.77
,54,False,31.44
sougoEy,21,False,25.34
GlUOyUY,75,True,15.3
tgXgdgI,30,False,17.92
wcjJEKQ,,False,90.69
uZNVwGA,42,False,98.2
cWUKELC,2,False,34.64
XTfuMUk,,False,16.3
mKJaGOb,72,False,10.9
OXQYICl,5,False,4.5
VBPxflf,79,True,91.24
,6,True,27.4
vErEcgn,55,True,73.02
fmFAUuL,28,False,95.14
WLFPkSq,95,False,41.07
KdNSOXM,65,True,35.13
TujVliD,,False,66.37
BSIFPQX,62,True,17.18
nkVpsva,,False,51.95
KdjSFNt,71,True,41.65
xWWeowp,29,True,68.34
lYUenkk,,False,10.26
fgcRMYz,57,True,75.17
lrGSrlJ,,False,71.27
JiGxsCI,61,False,6.61
